term,code
cerebrovascular disorders,C10.228.140.300
cervical rib syndrome,C10.668.829.550.850.200
uterine cervicitis,C12.050.351.500.852.593.150
uterine cervical diseases,C12.050.351.500.852.593
uterine cervical dysplasia,C04.834.818
uterine cervical erosion,C12.050.351.500.852.593.112
uterine cervical incompetence,C12.050.351.500.852.593.120
uterine cervical neoplasms,C04.588.945.418.948.850
cestode infections,C01.610.335.190
chagas cardiomyopathy,C01.610.752.300.900.200.190
chancre,C01.150.252.400.794.840.500.500
chancroid,C01.150.252.400.700.433.308
charcot-marie-tooth disease,C10.500.300.200
chediak-higashi syndrome,C11.270.040.772
cheilitis,C07.465.409.215
cherubism,C05.116.099.708.375.199
chest pain,C23.888.592.612.233
cheyne-stokes respiration,C08.618.182
chiari-frommel syndrome,C12.050.703.844.506.389.500
chickenpox,C01.925.256.466.930.250
chilblains,C26.212.500.217
chlamydia infections,C01.150.252.400.210.125
chlamydiaceae infections,C01.150.252.400.210
choanal atresia,C08.460.171
"adenoma, bile duct",C04.557.470.035.085
cholangitis,C06.130.120.200
cholecystitis,C06.130.564.263
cholelithiasis,C06.130.409
cholera,C01.150.252.400.959.347
cholestasis,C06.130.120.135
"cholestasis, intrahepatic",C06.130.120.135.250
cholesteatoma,C17.800.428.260
choline deficiency,C18.654.521.500.133.699.160
chondroblastoma,C04.557.450.565.250
chondrocalcinosis,C05.550.114.264
chondrodysplasia punctata,C05.116.099.708.195
chondroma,C04.557.450.565.265
chondrosarcoma,C04.557.450.565.280
chordoma,C04.557.465.220
chorea,C10.228.662.262.249
"hydatidiform mole, invasive",C04.557.465.955.416.812.500
chorioamnionitis,C12.050.703.277.030
choriocarcinoma,C04.557.465.955.207
chorioretinitis,C11.768.773.348
choristoma,C23.300.250
choroid neoplasms,C04.588.364.978.223
choroid hemorrhage,C11.290.195
choroiditis,C11.941.160.478
hemophilia b,C15.378.100.100.510
chromoblastomycosis,C01.150.703.302.110
chromosome aberrations,C23.550.210
chromosome deletion,C23.550.210.050.500.500
chromosome fragility,C23.550.210.110.180
chronic disease,C23.550.291.500
chylous ascites,C06.844.200
chylothorax,C08.528.142
ciliary motility disorders,C08.200
cleft lip,C07.465.409.225
cleft palate,C05.500.460.185
cleidocranial dysplasia,C05.116.099.708.207
clonorchiasis,C01.610.335.865.148
clostridium infections,C01.150.252.410.222
clubfoot,C05.330.488.655.063
cluster headache,C10.228.140.546.399.937.500
cocarcinogenesis,C04.697.098.875
coccidioidomycosis,C01.150.703.203
coccidiosis,C01.610.752.250
cockayne syndrome,C05.116.099.343.250
solitary pulmonary nodule,C08.381.884
colic,C16.614.166
colitis,C06.405.205.265
"colitis, ulcerative",C06.405.205.265.231
collagen diseases,C17.300.200
colles' fracture,C05.550.518.336.500
coloboma,C11.250.110
colonic diseases,C06.405.469.158
"colonic diseases, functional",C06.405.469.158.272
colonic neoplasms,C04.588.274.476.411.307.180
colonic polyps,C23.300.825.411.235
colonic pseudo-obstruction,C06.405.469.158.272.217
color vision defects,C10.597.751.941.256
colorado tick fever,C01.920.930.200
"colorectal neoplasms, hereditary nonpolyposis",C04.588.274.476.411.307.190
coma,C10.597.606.358.800.200
common bile duct diseases,C06.130.120.250
common bile duct neoplasms,C04.588.274.120.250.250
common cold,C01.748.162
communicable diseases,C01.221
communication disorders,C10.597.606.150
compartment syndromes,C05.651.180
condylomata acuminata,C01.221.812.640.220
confusion,C10.597.606.337
conjunctival diseases,C11.187
conjunctival neoplasms,C04.588.364.235
conjunctivitis,C11.187.183
"conjunctivitis, acute hemorrhagic",C01.375.725.250.250
"conjunctivitis, allergic",C11.187.183.200
"conjunctivitis, bacterial",C01.150.252.289.225
"conjunctivitis, inclusion",C01.150.252.289.225.250
"conjunctivitis, viral",C01.375.725.250
connective tissue diseases,C17.300
consciousness disorders,C10.597.606.358
constipation,C23.888.821.150
"constriction, pathologic",C23.300.287
contracture,C05.550.323
contusions,C26.974.250
convalescence,C23.550.291.562
"seizures, febrile",C10.597.742.571
cor triatriatum,C14.240.400.200
corneal diseases,C11.204
"corneal dystrophies, hereditary",C11.204.236
corneal opacity,C11.204.299
corneal ulcer,C01.375.177
coronary aneurysm,C14.280.647.250.250
coronary artery disease,C14.280.647.250.260
coronary disease,C14.280.647.250
coronary thrombosis,C14.280.647.250.290
coronary vasospasm,C14.280.647.250.295
coronary vessel anomalies,C14.240.400.210
coronaviridae infections,C01.925.782.600.550
corynebacterium infections,C01.150.252.410.040.246
cough,C08.618.248
coxsackievirus infections,C01.925.782.687.359.213
cracked tooth syndrome,C07.793.850.750.300
cranial nerve diseases,C10.292
cranial nerve neoplasms,C04.588.614.300
craniofacial dysostosis,C05.116.099.370.231
craniopharyngioma,C04.557.465.625.200
craniosynostoses,C05.116.099.370.894.232
congenital hypothyroidism,C05.116.099.343.347
cri-du-chat syndrome,C10.597.606.360.180
crigler-najjar syndrome,C16.320.565.300.281
crisscross heart,C14.240.400.220
crohn disease,C06.405.205.731.500
cross infection,C01.248
croup,C08.360.535.365
crush syndrome,C26.257.500
cryoglobulinemia,C14.907.454.140
cryptococcosis,C01.150.703.248
cryptorchidism,C12.100.500.829.258
cryptosporidiosis,C01.610.432.269
cushing syndrome,C19.053.800.367
cutis laxa,C16.320.850.180
cyanosis,C23.888.248
"carcinoma, adenoid cystic",C04.557.470.200.025.220
cystadenocarcinoma,C04.557.470.200.025.480
cystadenoma,C04.557.470.035.320
cystic fibrosis,C06.689.202
cysticercosis,C01.610.335.190.902.185
cystinosis,C16.320.565.595.377
cystinuria,C12.050.351.968.419.815.885.250
cystitis,C12.050.351.968.829.495
phyllodes tumor,C04.557.450.795.650
cysts,C04.182
cytomegalovirus infections,C01.925.256.466.245
dacryocystitis,C11.496.221
dandy-walker syndrome,C10.228.140.252.300
de lange syndrome,C10.597.606.360.210
deafness,C09.218.458.341.186
"hearing loss, sudden",C09.218.458.341.900
death,C23.550.260
"death, sudden",C23.550.260.322
"decalcification, pathologic",C05.116.198.247.400
decerebrate state,C10.597.305
decompression sickness,C26.120.248
pressure ulcer,C17.800.893.665
deficiency diseases,C18.654.521.500
deglutition disorders,C06.405.117.119
dehydration,C18.452.950.179
delirium,C10.597.606.337.500
hepatitis d,C01.925.440.450
dementia,C10.228.140.380
demyelinating diseases,C10.314
dengue,C01.920.500.270
dens in dente,C07.650.800.250
dental calculus,C07.793.208.250
dental caries,C07.793.720.210
dental deposits,C07.793.208
dental enamel hypoplasia,C07.650.800.255
dental fissures,C07.793.720.210.220
dental fistula,C07.465.614.187
dental leakage,C07.793.221
"dental occlusion, traumatic",C07.793.494.293
dental plaque,C07.793.208.377
dental pulp calcification,C07.793.237.252
dental pulp diseases,C07.793.237
dental pulp exposure,C07.793.237.283
dental pulp necrosis,C07.793.237.315
dentigerous cyst,C04.182.089.530.690.310
dentin dysplasia,C07.650.800.260
dentin sensitivity,C07.793.266
dentinogenesis imperfecta,C07.650.800.270
dermatitis,C17.800.174
"dermatitis, exfoliative",C17.800.174.318
dermatitis herpetiformis,C17.800.174.360
drug eruptions,C17.800.174.600
"dermatitis, atopic",C16.320.850.210
"dermatitis, contact",C17.800.174.255
dermatomycoses,C01.150.703.302
dermatomyositis,C05.651.594.819.500
dermoid cyst,C04.182.201
dextrocardia,C14.240.400.280
diabetes insipidus,C12.050.351.968.419.135
diabetes mellitus,C18.452.394.750
"diabetes mellitus, experimental",C18.452.394.750.074
"diabetes mellitus, type 1",C18.452.394.750.124
"diabetes mellitus, lipoatrophic",C18.452.394.750.149.500
"diabetes mellitus, type 2",C18.452.394.750.149
diabetic angiopathies,C14.907.320
diabetic coma,C19.246.099.750
diabetic nephropathies,C12.050.351.968.419.192
diabetic neuropathies,C10.668.829.300
diabetic retinopathy,C11.768.257
diaper rash,C17.800.174.255.400.250
diaphragmatic eventration,C06.198.257
camurati-engelmann syndrome,C05.116.099.708.180
diarrhea,C23.888.821.214
"diarrhea, infantile",C23.888.821.214.500
vipoma,C04.557.465.625.650.240.847
diastema,C07.650.800.320
dicrocoeliasis,C01.610.335.865.224
dictyocaulus infections,C01.610.335.349.315
dientamoebiasis,C01.610.432.275
"hyperostosis, diffuse idiopathic skeletal",C05.116.540.410
digeorge syndrome,C05.660.207.103.500
digestive system abnormalities,C06.198
digestive system diseases,C06
digestive system neoplasms,C04.588.274
"dilatation, pathologic",C23.300.325
dipetalonema infections,C01.610.335.508.700.750.361.275
diphtheria,C01.150.252.410.040.246.388
diphyllobothriasis,C01.610.335.190.304
diplopia,C10.597.751.941.339
dirofilariasis,C01.610.335.349.320
disease,C23.550.288
"disease models, animal",C22.232
disease susceptibility,C23.550.291.687
diseases in twins,C23.550.291.750
joint dislocations,C05.550.518
disseminated intravascular coagulation,C15.378.100.220
distemper,C01.925.782.580.600.500.285
diverticulitis,C06.405.205.282.500
"diverticulitis, colonic",C06.405.205.282.500.250
diverticulum,C06.405.205.282.750
"diverticulum, colon",C06.405.205.282.750.500
dizziness,C23.888.592.763.237
dna virus infections,C01.925.256
dog diseases,C22.268
double outlet right ventricle,C14.240.400.560.540.500
dourine,C01.610.701.688.367
down syndrome,C10.597.606.360.220
dracunculiasis,C01.610.335.508.700.750.299
drowning,C23.550.260.393
drug hypersensitivity,C20.543.206
dry socket,C07.465.227
duane retraction syndrome,C10.292.562.250
"ductus arteriosus, patent",C14.240.400.340
dumping syndrome,C06.405.748.630.310
duodenal diseases,C06.405.469.275
duodenal neoplasms,C04.588.274.476.411.445
duodenal obstruction,C06.405.469.275.395
duodenal ulcer,C06.405.469.275.800.348
duodenitis,C06.405.205.462.249
duodenogastric reflux,C06.405.469.275.700
dupuytren contracture,C04.557.450.565.590.340.173
dwarfism,C05.116.099.343
"dwarfism, pituitary",C05.116.099.343.445
dysarthria,C10.597.606.150.500.800.150.200
"dysautonomia, familial",C10.177.575.300
dysentery,C06.405.205.331
"dysentery, amebic",C01.610.432.396
"dysentery, bacillary",C01.150.252.400.310.229
dysgammaglobulinemia,C15.378.147.333
dysgerminoma,C04.557.465.330.300
dysgeusia,C10.597.751.861.479
"dyskinesia, drug-induced",C10.228.662.262.500
dyslexia,C10.597.606.150.500.300
"dyslexia, acquired",C10.597.606.150.500.300.200
dysmenorrhea,C23.550.568.750
dysostoses,C05.116.099.370
dyspareunia,C12.050.351.500.110
dyspepsia,C23.888.821.236
dysplastic nevus syndrome,C04.557.665.560.260
dyspnea,C08.618.326
"dyspnea, paroxysmal",C08.618.326.396
dystocia,C12.050.703.420.288
dystonia,C10.597.350.300
dystonia musculorum deformans,C10.228.140.079.357
"ear deformities, acquired",C09.218.271
ear diseases,C09.218
ear neoplasms,C04.588.443.665.312
earache,C09.218.350
ebstein anomaly,C14.240.400.395
ecchymosis,C15.378.100.452
echinococcosis,C01.610.335.190.396
"echinococcosis, hepatic",C01.610.335.190.396.314
"echinococcosis, pulmonary",C01.610.335.190.396.480
echinostomiasis,C01.610.335.865.282
echolalia,C10.597.606.150.500.800.300
echovirus infections,C01.925.782.687.359.347
eclampsia,C12.050.703.395.124
ecthyma,C01.150.252.410.890.168
"ecthyma, contagious",C01.925.256.743.193
ectodermal dysplasia,C16.131.077.350
ectoparasitic infestations,C01.610.858.211
ectopia lentis,C11.250.300
ectromelia,C05.660.585.350
"ectromelia, infectious",C01.925.256.743.239
ectropion,C11.338.362
eczema,C17.800.174.620
edema,C23.888.277
edema disease of swine,C22.905.260
"edema, cardiac",C14.280.434.482
ehlers-danlos syndrome,C14.907.454.240
eisenmenger complex,C14.240.400.450
electric injuries,C26.324
elephantiasis,C15.604.496.320
"elephantiasis, filarial",C01.610.335.508.700.750.361.350
"elliptocytosis, hereditary",C15.378.071.141.150.365
ellis-van creveld syndrome,C05.116.099.708.327
emaciation,C23.888.144.243.963.500
embolism,C14.907.355.350
"embolism, air",C14.907.355.350.254
"embolism, amniotic fluid",C12.050.703.634.404
"embolism, fat",C14.907.355.350.454
emergencies,C23.550.291.781
emphysema,C23.550.325
empty sella syndrome,C10.228.140.617.738.200
empyema,C01.830.305
"empyema, tuberculous",C01.748.265.320
encephalitis,C10.228.140.430
"encephalitis, california",C01.207.245.340.300.200
"encephalitis, arbovirus",C01.207.245.340.300
"encephalitis, japanese",C01.207.245.340.300.400
"encephalomyelitis, acute disseminated",C10.114.375.225
"encephalitis, st. louis",C01.207.245.340.300.550
"encephalitis, tick-borne",C01.207.245.340.300.775
encephalocele,C10.500.680.488
encephalomalacia,C10.228.140.461
encephalomyelitis,C01.207.291
"encephalomyelitis, autoimmune, experimental",C10.114.703.300
"encephalomyelitis, enzootic porcine",C01.925.782.687.359.456
"encephalomyelitis, equine",C01.207.245.340.450
"leukoencephalitis, acute hemorrhagic",C10.114.375.225.500
"encephalomyelitis, venezuelan equine",C01.207.245.340.450.600
enchondromatosis,C05.116.099.708.338
encopresis,C23.888.821.266
endarteritis,C14.907.940.090.340
endocardial cushion defects,C14.240.400.560.350
endocardial fibroelastosis,C14.280.238.281
endocarditis,C14.280.282
"endocarditis, bacterial",C01.150.252.245
"endocarditis, subacute bacterial",C01.150.252.245.500
endocrine system diseases,C19
endocrine gland neoplasms,C04.588.322
endometrial hyperplasia,C12.050.351.500.852.228
endometriosis,C12.050.351.500.163
endometritis,C12.050.351.500.056.750.249
endomyocardial fibrosis,C14.280.238.406
entamoebiasis,C01.610.752.049.407
enteritis,C06.405.205.462
"enteritis, transmissible, of turkeys",C01.925.782.600.550.200.325
enterobacteriaceae infections,C01.150.252.400.310
enterocolitis,C06.405.205.596
"enterocolitis, pseudomembranous",C01.150.252.410.222.310
enterotoxemia,C01.150.252.410.222.325
enterovirus infections,C01.925.782.687.359
entropion,C11.338.443
enuresis,C12.050.351.968.934.252
eosinophilia,C15.378.553.231
eosinophilic granuloma,C05.116.391
ependymoma,C04.557.465.625.600.380.290
ephemeral fever,C01.925.782.580.830.375
epidermal cyst,C04.182.254
"epidermitis, exudative, of swine",C22.905.382
epidermodysplasia verruciformis,C01.925.256.650.810.345
epidermolysis bullosa,C16.131.831.493
epididymitis,C12.100.500.199
epiglottitis,C01.748.798.200
epilepsy,C10.228.140.490
"epilepsies, partial",C10.228.140.490.360
"epilepsy, generalized",C10.228.140.490.375
"epilepsy, tonic-clonic",C10.228.140.490.375.290
"epilepsies, myoclonic",C10.228.140.490.375.130
"epilepsy, absence",C10.228.140.490.375.260
"epilepsy, temporal lobe",C10.228.140.490.360.290
"epilepsy, post-traumatic",C10.228.140.199.650
"epiphyses, slipped",C05.116.425
epispadias,C12.050.351.875.374
epistaxis,C08.460.261
equine infectious anemia,C01.925.782.815.616.300
equinus deformity,C05.330.488.655.125
ergotism,C25.723.680.262
eructation,C23.888.821.297
erysipelas,C01.150.252.410.890.503
erysipeloid,C01.150.252.410.334.329
erysipelothrix infections,C01.150.252.410.334
erythema,C17.800.229
erythema induratum,C01.150.252.819.820.260
erythema multiforme,C17.800.229.400
erythema nodosum,C17.800.174.600.375
erythrasma,C01.150.252.410.040.246.694
"erythroblastosis, fetal",C12.050.703.277.060
"leukemia, erythroblastic, acute",C04.557.337.539.275.325
erythromelalgia,C14.907.617.500
erythroplasia,C04.834.288
escherichia coli infections,C01.150.252.400.310.330
esophageal achalasia,C06.405.117.119.500.432
esophageal and gastric varices,C06.405.117.240
esophageal atresia,C06.198.330
esophageal cyst,C04.182.281
esophageal diseases,C06.405.117
"diverticulum, esophageal",C06.405.205.282.750.625
esophageal fistula,C06.267.250
esophageal neoplasms,C04.588.274.476.205
esophageal perforation,C06.405.117.468
esophageal stenosis,C06.405.117.544
esophagitis,C06.405.117.620
"esophagitis, peptic",C06.405.117.620.420
esotropia,C10.292.562.887.300
eunuchism,C19.391.482.293
euthyroid sick syndromes,C19.874.255
exanthema,C17.800.257
exanthema subitum,C01.925.256.466.850.290
exophthalmos,C11.675.349
exostoses,C05.116.540.310
"exostoses, multiple hereditary",C04.557.450.565.575.610.615.325
exotropia,C10.292.562.887.650
"cardiac complexes, premature",C14.280.067.325
extravasation of diagnostic and therapeutic materials,C23.550.340
eye abnormalities,C11.250
eye burns,C10.900.300.284.250.250
eye diseases,C11
eye foreign bodies,C10.900.300.284.250.260
eye hemorrhage,C11.290
eye injuries,C10.900.300.284.250
eye manifestations,C11.300
eye neoplasms,C04.588.364
eyelid diseases,C11.338
eyelid neoplasms,C04.588.443.392.500
facial asymmetry,C23.300.505
facial dermatoses,C17.800.271
facial hemiatrophy,C07.465.284
facial injuries,C10.900.300.284
facial neoplasms,C04.588.443.392
facial nerve diseases,C07.465.299
facial neuralgia,C07.465.299.625
facial pain,C23.888.592.612.330
facial paralysis,C07.465.327
factor v deficiency,C15.378.100.100.300
factor vii deficiency,C15.378.100.100.310
factor x deficiency,C15.378.100.100.320
factor xi deficiency,C15.378.100.100.325
factor xii deficiency,C15.378.100.100.330
factor xiii deficiency,C15.378.100.100.335
failure to thrive,C23.888.338
fallopian tube diseases,C12.050.351.500.056.390
fallopian tube neoplasms,C04.588.945.418.365
fanconi syndrome,C12.050.351.968.419.815.450
