alias,term
"lesion, hill-sachs",bankart lesions
hill-sachs lesions,bankart lesions
hill sachs lesions,bankart lesions
"lesions, hill-sachs",bankart lesions
bankart fractures,bankart lesions
"fractures, bankart",bankart lesions
osseous bankart lesion,bankart lesions
"bankart lesion, osseous",bankart lesions
"lesion, osseous bankart",bankart lesions
osseous bankart lesions,bankart lesions
"bankart lesions, osseous",bankart lesions
"lesions, osseous bankart",bankart lesions
bony bankart lesion,bankart lesions
"bankart lesion, bony",bankart lesions
"lesion, bony bankart",bankart lesions
bony bankart lesions,bankart lesions
"bankart lesions, bony",bankart lesions
"lesions, bony bankart",bankart lesions
hyperekplexia,hyperekplexia
hyperekplexias,hyperekplexia
anorectal malformations,anorectal malformations
"malformation, anorectal",anorectal malformations
"malformations, anorectal",anorectal malformations
anorectal anomalies,anorectal malformations
"anomalies, anorectal",anorectal malformations
"anomaly, anorectal",anorectal malformations
anorectal anomaly,anorectal malformations
anorectal malformation,anorectal malformations
anorectal atresia,anorectal malformations
anorectal atresias,anorectal malformations
"atresia, anorectal",anorectal malformations
"atresias, anorectal",anorectal malformations
anorectal stenosis,anorectal malformations
anorectal stenoses,anorectal malformations
"stenoses, anorectal",anorectal malformations
"stenosis, anorectal",anorectal malformations
tardive dyskinesia,tardive dyskinesia
"dyskinesia, tardive",tardive dyskinesia
"dyskinesias, tardive",tardive dyskinesia
tardive dyskinesias,tardive dyskinesia
tardive dystonia,tardive dyskinesia
"dystonia, tardive",tardive dyskinesia
"dystonias, tardive",tardive dyskinesia
tardive dystonias,tardive dyskinesia
"alert fatigue, health personnel","alert fatigue, health personnel"
health personnel alert fatigue,"alert fatigue, health personnel"
alert fatigue health personnel,"alert fatigue, health personnel"
"pneumonia, necrotizing","pneumonia, necrotizing"
necrotizing pneumonias,"pneumonia, necrotizing"
"pneumonias, necrotizing","pneumonia, necrotizing"
necrotizing pneumonia,"pneumonia, necrotizing"
multiple chronic conditions,multiple chronic conditions
"chronic conditions, multiple",multiple chronic conditions
multiple chronic health conditions,multiple chronic conditions
multiple chronic medical conditions,multiple chronic conditions
multiple chronic illnesses,multiple chronic conditions
"chronic illnesses, multiple",multiple chronic conditions
familial multiple lipomatosis,familial multiple lipomatosis
familial multiple lipomatoses,familial multiple lipomatosis
"lipomatoses, familial multiple",familial multiple lipomatosis
"lipomatosis, familial multiple",familial multiple lipomatosis
familial multiple lipomas,familial multiple lipomatosis
familial multiple lipoma,familial multiple lipomatosis
"multiple lipoma, familial",familial multiple lipomatosis
"multiple lipomas, familial",familial multiple lipomatosis
dercum's disease type iii,familial multiple lipomatosis
adiposis dolorosa type iii,familial multiple lipomatosis
lipoma dolorosa,familial multiple lipomatosis
microaneurysm,microaneurysm
microaneurysms,microaneurysm
retinal microaneurysm,microaneurysm
"microaneurysm, retinal",microaneurysm
"microaneurysms, retinal",microaneurysm
retinal microaneurysms,microaneurysm
charcot-bouchard aneurysm,microaneurysm
"aneurysm, charcot-bouchard",microaneurysm
charcot bouchard aneurysm,microaneurysm
miliary aneurysm,microaneurysm
"aneurysm, miliary",microaneurysm
"aneurysms, miliary",microaneurysm
miliary aneurysms,microaneurysm
charcot-bouchard aneurysms,microaneurysm
"aneurysms, charcot-bouchard",microaneurysm
charcot bouchard aneurysms,microaneurysm
acute febrile encephalopathy,acute febrile encephalopathy
acute febrile encephalopathies,acute febrile encephalopathy
"encephalopathies, acute febrile",acute febrile encephalopathy
"encephalopathy, acute febrile",acute febrile encephalopathy
"febrile encephalopathies, acute",acute febrile encephalopathy
acute encephalitis syndrome,acute febrile encephalopathy
acute encephalitis syndromes,acute febrile encephalopathy
"encephalopathy, febrile",acute febrile encephalopathy
"encephalopathies, febrile",acute febrile encephalopathy
febrile encephalopathies,acute febrile encephalopathy
febrile encephalopathy,acute febrile encephalopathy
neonatal sepsis,neonatal sepsis
neonatal sepses,neonatal sepsis
"sepses, neonatal",neonatal sepsis
"sepsis, neonatal",neonatal sepsis
neonatal late-onset sepsis,neonatal sepsis
"late-onset sepses, neonatal",neonatal sepsis
"late-onset sepsis, neonatal",neonatal sepsis
neonatal late onset sepsis,neonatal sepsis
neonatal late-onset sepses,neonatal sepsis
"sepses, neonatal late-onset",neonatal sepsis
"sepsis, neonatal late-onset",neonatal sepsis
neonatal early-onset sepsis,neonatal sepsis
"early-onset sepses, neonatal",neonatal sepsis
"early-onset sepsis, neonatal",neonatal sepsis
neonatal early onset sepsis,neonatal sepsis
neonatal early-onset sepses,neonatal sepsis
"sepses, neonatal early-onset",neonatal sepsis
"sepsis, neonatal early-onset",neonatal sepsis
small fiber neuropathy,small fiber neuropathy
"neuropathies, small fiber",small fiber neuropathy
"neuropathy, small fiber",small fiber neuropathy
small fiber neuropathies,small fiber neuropathy
small nerve fiber neuropathy,small fiber neuropathy
small fibre neuropathy,small fiber neuropathy
"neuropathies, small fibre",small fiber neuropathy
"neuropathy, small fibre",small fiber neuropathy
small fibre neuropathies,small fiber neuropathy
"stenosis, pulmonary vein","stenosis, pulmonary vein"
pulmonary vein stenoses,"stenosis, pulmonary vein"
pulmonary vein stenosis,"stenosis, pulmonary vein"
"stenoses, pulmonary vein","stenosis, pulmonary vein"
"vein stenoses, pulmonary","stenosis, pulmonary vein"
"vein stenosis, pulmonary","stenosis, pulmonary vein"
"stenosis, pulmonary artery","stenosis, pulmonary artery"
"artery stenoses, pulmonary","stenosis, pulmonary artery"
"artery stenosis, pulmonary","stenosis, pulmonary artery"
pulmonary artery stenoses,"stenosis, pulmonary artery"
pulmonary artery stenosis,"stenosis, pulmonary artery"
"stenoses, pulmonary artery","stenosis, pulmonary artery"
zika virus infection,zika virus infection
"infection, zika virus",zika virus infection
"virus infection, zika",zika virus infection
zikv infection,zika virus infection
"infection, zikv",zika virus infection
"fever, zika",zika virus infection
zika virus disease,zika virus infection
"disease, zika virus",zika virus infection
"virus disease, zika",zika virus infection
zika fever,zika virus infection
congenital zika syndrome,zika virus infection
congenital zika virus infection,zika virus infection
emergence delirium,emergence delirium
"delirium, emergence",emergence delirium
anesthesia emergence delirium,emergence delirium
"delirium, anesthesia emergence",emergence delirium
"emergence delirium, anesthesia",emergence delirium
emergence excitement,emergence delirium
"excitement, emergence",emergence delirium
postanesthetic excitement,emergence delirium
"excitement, postanesthetic",emergence delirium
agitated emergence,emergence delirium
"emergence, agitated",emergence delirium
emergence agitation,emergence delirium
"agitation, emergence",emergence delirium
"agitations, emergence",emergence delirium
acute retroviral syndrome,acute retroviral syndrome
"retroviral syndrome, acute",acute retroviral syndrome
body remains,body remains
"remains, body",body remains
human remains,body remains
"remains, human",body remains
skeletal remains,body remains
"remains, skeletal",body remains
animal remains,body remains
"remains, animal",body remains
bunion,bunion
bunions,bunion
"fibromatosis, plantar","fibromatosis, plantar"
plantar fibromatosis,"fibromatosis, plantar"
ledderhose disease,"fibromatosis, plantar"
ledderhose's disease,"fibromatosis, plantar"
"fractures, avulsion","fractures, avulsion"
avulsion fracture,"fractures, avulsion"
avulsion fractures,"fractures, avulsion"
"fracture, avulsion","fractures, avulsion"
sprain fracture,"fractures, avulsion"
"fracture, sprain","fractures, avulsion"
"fractures, sprain","fractures, avulsion"
sprain fractures,"fractures, avulsion"
crush injuries,crush injuries
crush injury,crush injuries
"injuries, crush",crush injuries
"injury, crush",crush injuries
crush fractures,crush injuries
crush fracture,crush injuries
"fracture, crush",crush injuries
"fractures, crush",crush injuries
cellulite,cellulite
cellulites,cellulite
latent autoimmune diabetes in adults,latent autoimmune diabetes in adults
diabetes mellitus type 1.5,latent autoimmune diabetes in adults
type 1.5 diabetes mellitus,latent autoimmune diabetes in adults
type 1.5 diabetes,latent autoimmune diabetes in adults
"diabetes, type 1.5",latent autoimmune diabetes in adults
"lada, latent autoimmune diabetes in adults",latent autoimmune diabetes in adults
latent autoimmune diabetes of adults,latent autoimmune diabetes in adults
bilateral vestibulopathy,bilateral vestibulopathy
"vestibulopathy, bilateral",bilateral vestibulopathy
bilateral vestibular deficiency,bilateral vestibulopathy
"vestibular deficiency, bilateral",bilateral vestibulopathy
bilateral vestibular insufficiency,bilateral vestibulopathy
"vestibular insufficiency, bilateral",bilateral vestibulopathy
vestibular areflexia,bilateral vestibulopathy
bilateral vestibular loss,bilateral vestibulopathy
"vestibular loss, bilateral",bilateral vestibulopathy
cone-rod dystrophies,cone-rod dystrophies
cone rod dystrophies,cone-rod dystrophies
retinal cone-rod dystrophy,cone-rod dystrophies
"cone-rod dystrophies, retinal",cone-rod dystrophies
"cone-rod dystrophy, retinal",cone-rod dystrophies
retinal cone rod dystrophy,cone-rod dystrophies
retinal cone-rod dystrophies,cone-rod dystrophies
cone-rod retinal dystrophy,cone-rod dystrophies
cone rod retinal dystrophy,cone-rod dystrophies
cone-rod retinal dystrophies,cone-rod dystrophies
"retinal dystrophies, cone-rod",cone-rod dystrophies
"retinal dystrophy, cone-rod",cone-rod dystrophies
cone-rod dystrophy,cone-rod dystrophies
cone rod dystrophy,cone-rod dystrophies
cone-rod degenerations,cone-rod dystrophies
cone rod degenerations,cone-rod dystrophies
cone-rod degeneration,cone-rod dystrophies
cone-rod dystrophy 2,cone-rod dystrophies
cone rod dystrophy 2,cone-rod dystrophies
rod-cone dystrophy,cone-rod dystrophies
rod-cone dystrophies,cone-rod dystrophies
rod cone dystrophies,cone-rod dystrophies
rod cone dystrophy,cone-rod dystrophies
medically unexplained symptoms,medically unexplained symptoms
medically unexplained symptom,medically unexplained symptoms
"symptom, medically unexplained",medically unexplained symptoms
"symptoms, medically unexplained",medically unexplained symptoms
"unexplained symptom, medically",medically unexplained symptoms
"unexplained symptoms, medically",medically unexplained symptoms
somatic symptoms,medically unexplained symptoms
somatic symptom,medically unexplained symptoms
"symptom, somatic",medically unexplained symptoms
"symptoms, somatic",medically unexplained symptoms
myocardial contusions,myocardial contusions
"contusion, myocardial",myocardial contusions
"contusions, myocardial",myocardial contusions
myocardial contusion,myocardial contusions
cardiac contusion,myocardial contusions
cardiac contusions,myocardial contusions
"contusion, cardiac",myocardial contusions
"contusions, cardiac",myocardial contusions
heart contusions,myocardial contusions
"contusion, heart",myocardial contusions
"contusions, heart",myocardial contusions
heart contusion,myocardial contusions
contusio cordis,myocardial contusions
"cordis, contusio",myocardial contusions
blunt cardiac injury,myocardial contusions
blunt cardiac injuries,myocardial contusions
"cardiac injuries, blunt",myocardial contusions
"cardiac injury, blunt",myocardial contusions
"injuries, blunt cardiac",myocardial contusions
"injury, blunt cardiac",myocardial contusions
breast carcinoma in situ,breast carcinoma in situ
lobular carcinoma in situ,breast carcinoma in situ
"lcis, lobular carcinoma in situ",breast carcinoma in situ
fracture dislocation,fracture dislocation
"dislocation, fracture",fracture dislocation
"dislocations, fracture",fracture dislocation
fracture dislocations,fracture dislocation
dislocation fracture,fracture dislocation
dislocation fractures,fracture dislocation
"fracture, dislocation",fracture dislocation
"fractures, dislocation",fracture dislocation
salter-harris fractures,salter-harris fractures
"fractures, salter-harris",salter-harris fractures
salter harris fractures,salter-harris fractures
growth plate injuries,salter-harris fractures
growth plate injury,salter-harris fractures
growth plate fractures,salter-harris fractures
"fracture, growth plate",salter-harris fractures
"fractures, growth plate",salter-harris fractures
growth plate fracture,salter-harris fractures
lymphadenopathy,lymphadenopathy
lymphadenopathies,lymphadenopathy
adenopathy,lymphadenopathy
adenopathies,lymphadenopathy
